year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cabo Verde - CPV,Cameroon - CMR,Canada - CAN,Central African Republic - CAF,Chad - TCD,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Haiti - HTI,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Nicaragua - NIC,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Seychelles - SYC,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,64907.4140625,64586.85546875,165522.125,73102.203125,86842.328125,2106.6396484375,103177.21875,3628.232177734375,5243.431640625,256.86456298828125,166115.375,4611.294921875,1893.712646484375,235.21807861328125,8181.74658203125,270540.8125,1966.6435546875,4255.072265625,43206.3671875,665814.4375,13122.708984375,60783.37890625,310.4042663574219,1050.1044921875,6606.51513671875,6419.474609375,2399.430419921875,40898.91015625,62302.44921875,8346.703125,19491.28125,18857.181640625,2023.9930419921875,342.76629638671875,11642.1435546875,1085.8720703125,44671.515625,520538.0,1439.09716796875,922.7305297851562,817614.8125,32099.240234375,42665.2734375,10695.37109375,10676.314453125,608.7445678710938,5511.03369140625,4286.3984375,2095.53466796875,518490.5625,99623.15625,58223.91015625,20099.369140625,18513.306640625,394602.03125,8421.7626953125,549352.875,2654.3271484375,14903.8330078125,671.3802490234375,6799.88134765625,8179.51904296875,3148.355712890625,24887.18359375,2910.73486328125,756.651611328125,1866.3558349609375,2609.41064453125,242710.671875,18464.9375,4532.89501953125,2922.863037109375,7620.97802734375,141269.703125,34262.234375,8444.423828125,6745.0517578125,88922.9375,44396.9921875,56002.859375,3366.0302734375,4078.937744140625,28473.6328125,53680.23046875,39466.0546875,32225.40234375,26866.716796875,2956.3759765625,9237.3271484375,235.0466766357422,4737.58740234375,107653.4375,194625.09375,29498.73046875,107617.2578125,128032.1171875,9130.609375,26181.177734375,33300.8359375,1770.6005859375,6508.34814453125,6750.541015625,139503.9375,11691.6962890625,6142.86767578125,663360.125,3565274.75,19400.33203125,60649.1796875,8869.9140625,9289.72265625
1961-01-01,57718.234375,67937.0625,168795.890625,77483.1484375,87803.96875,2180.712890625,107528.828125,3719.30224609375,5561.92333984375,277.6058349609375,187716.6875,4519.51220703125,1651.328125,278.26861572265625,8525.8251953125,280279.09375,2134.53564453125,4498.3544921875,42329.53515625,568989.5,13902.55859375,64547.65625,334.83782958984375,1106.4139404296875,6585.78662109375,6555.078125,2660.62109375,35979.15625,66079.1640625,8219.240234375,20323.6484375,19916.5703125,2096.868408203125,354.3926086425781,12230.8916015625,1115.8765869140625,48764.92578125,544613.5625,1538.1229248046875,864.6339721679688,845030.25,30390.63671875,48486.90234375,11163.8095703125,11218.4189453125,620.1793212890625,5128.99658203125,4559.95458984375,2216.967529296875,540371.3125,102280.1015625,60083.68359375,21198.587890625,20969.37109375,428000.46875,8822.966796875,608256.0625,3097.80712890625,15119.9228515625,680.8646240234375,6719.21826171875,8611.6171875,3245.246337890625,24925.767578125,2921.15478515625,779.8743286132812,1898.3338623046875,3075.948974609375,250343.390625,23311.796875,4645.5625,2928.427734375,7693.90869140625,145545.28125,36132.171875,9135.4765625,7235.51953125,90430.625,47046.0625,58796.734375,3778.102294921875,4326.19970703125,30320.306640625,55633.93359375,41813.203125,34096.015625,29747.912109375,2859.7998046875,9572.9609375,235.1136474609375,5088.74951171875,111910.6328125,217137.1875,29460.451171875,113228.359375,137339.203125,9960.81640625,28737.40234375,35721.0,1926.9171142578125,7701.126953125,7382.03271484375,142074.03125,11963.0791015625,6283.4638671875,682126.3125,3655125.0,19783.23046875,61614.22265625,8708.9462890625,9850.138671875
1962-01-01,44648.9765625,64804.49609375,178033.1875,79760.7890625,93662.2890625,2271.676025390625,112872.4375,3581.5205078125,5722.02587890625,299.2867126464844,199688.1875,4895.80224609375,1800.4635009765625,234.99090576171875,8468.6494140625,297372.375,2146.125732421875,5163.37939453125,52601.2890625,619425.4375,15923.46484375,67716.6796875,394.2585144042969,1281.8175048828125,7057.986328125,6920.4208984375,3093.271728515625,44598.58203125,69688.875,10243.708984375,21136.669921875,21056.982421875,2316.668701171875,363.4481201171875,12687.7109375,1134.19677734375,49290.234375,578636.1875,1730.8812255859375,873.95751953125,874200.75,30728.744140625,47645.0859375,11629.1025390625,11582.171875,615.6055908203125,5634.623046875,4840.515625,2285.782470703125,562808.9375,112143.375,62651.6640625,21845.10546875,21880.98046875,451894.6875,8768.3486328125,665346.875,3244.02880859375,16165.3916015625,785.4224243164062,6503.0419921875,9056.2626953125,3326.654541015625,26037.76953125,2912.5048828125,758.6619262695312,2106.406005859375,3332.26025390625,260571.328125,26461.08984375,5055.33984375,3328.826904296875,7933.43310546875,153163.0,37373.6875,10300.21484375,7950.23583984375,93956.21875,48185.359375,62312.5859375,4126.97265625,4475.1875,33062.80859375,59348.36328125,44985.23828125,34559.05078125,32597.521484375,3161.49609375,9542.78515625,247.483154296875,5543.7138671875,116383.0390625,238131.546875,31646.62109375,116884.3125,143518.8125,12365.5732421875,31236.908203125,37309.19921875,1967.673095703125,7600.25146484375,7476.31982421875,150525.703125,13172.083984375,6449.0234375,691715.375,3871828.25,20229.1484375,64192.30859375,8521.92578125,9796.626953125
1963-01-01,54245.125,64030.20703125,192960.875,83190.8515625,99034.2890625,2394.91015625,116546.265625,3754.589111328125,6083.212890625,314.86444091796875,212458.375,4720.42724609375,1846.689453125,194.927978515625,9040.29296875,311390.40625,2019.90087890625,4708.66650390625,55472.2421875,694502.25,18642.025390625,69532.25,436.4629211425781,1373.953125,7452.17236328125,8097.2255859375,3147.928466796875,44885.77734375,71010.890625,10943.5146484375,21509.685546875,22818.173828125,2381.9658203125,476.874755859375,13018.6650390625,1356.15673828125,50422.484375,615059.625,2091.67236328125,918.9022216796875,893475.75,33478.203125,53827.0234375,12437.486328125,12707.419921875,679.803955078125,5596.048828125,4972.349609375,2561.999755859375,599736.875,108146.390625,64708.578125,22776.505859375,24374.416015625,475479.53125,9747.251953125,721813.6875,3385.508544921875,16499.833984375,867.0726318359375,6642.65966796875,9109.037109375,3376.611328125,26961.3828125,3077.18017578125,755.544921875,2005.2138671875,4075.36767578125,284113.28125,30865.962890625,5181.32373046875,3573.31103515625,7966.3818359375,160041.078125,40495.08984375,11203.271484375,8690.7373046875,99065.6640625,49739.234375,66066.1640625,4469.7470703125,4712.92626953125,34961.9375,62974.85546875,47731.84375,39053.94140625,35249.609375,2818.130126953125,9714.7509765625,271.0499572753906,6161.19970703125,124151.9140625,260323.0625,30372.01171875,122632.46875,150510.875,9983.8388671875,35261.3359375,39596.50390625,2109.13916015625,8612.59375,8188.12255859375,164309.703125,14299.091796875,6673.02392578125,715870.5625,4032528.0,19596.26953125,68568.1015625,8975.8583984375,10002.8544921875
1964-01-01,57766.5234375,68091.3359375,201304.15625,87125.7578125,98087.4921875,2326.49462890625,124962.3828125,3981.113037109375,6565.615234375,337.7986145019531,223247.75,4950.87744140625,1894.96044921875,210.6665496826172,9353.0810546875,332375.96875,2124.700927734375,4734.00927734375,56600.56640625,781582.5625,20287.609375,75668.84375,487.8291320800781,1463.8587646484375,7887.7080078125,9667.6083984375,2750.832763671875,42122.5078125,77169.46875,11475.7607421875,23107.970703125,25811.46484375,2576.797607421875,455.39691162109375,13929.4072265625,1548.3963623046875,52984.609375,656693.5625,2309.23046875,1020.3558349609375,959986.8125,36332.58984375,57704.34375,12985.484375,11564.990234375,701.4238891601562,5630.64501953125,5322.77978515625,2949.263671875,641709.5625,108365.359375,66267.5,23792.12890625,26825.302734375,488026.65625,9975.0712890625,805009.25,3946.957763671875,17825.81640625,932.1842041015625,7178.05517578125,9253.58203125,3354.83984375,28534.759765625,2578.9296875,765.92333984375,2801.203125,4288.48974609375,320585.0625,32987.96484375,5373.04541015625,4111.65234375,8686.5771484375,172117.15625,42538.2734375,12582.9619140625,8503.0390625,99550.9296875,53122.7421875,70777.1171875,4693.70703125,4884.8681640625,38198.828125,63630.49609375,48936.32421875,42246.89453125,37377.85546875,2485.509033203125,10049.583984375,298.4494323730469,5982.025390625,132807.375,273276.21875,31445.712890625,130769.7578125,159688.0,14200.4873046875,40373.515625,43095.5546875,2422.419677734375,8911.8466796875,8262.2021484375,171014.453125,16445.197265625,7619.10888671875,757224.9375,4261044.5,20407.58203125,75796.1953125,10461.189453125,9683.40625
1965-01-01,62904.46484375,78441.234375,204371.859375,90165.546875,96455.4453125,2348.123779296875,130304.6328125,4312.05322265625,7283.34130859375,322.3299865722656,239173.640625,4934.171875,1954.603515625,221.2762908935547,9791.19140625,354856.875,2151.379638671875,4992.189453125,57027.7734375,862648.4375,23669.94921875,75479.2890625,490.7569580078125,1494.4974365234375,8497.1787109375,8694.91796875,3508.20068359375,45552.65234375,80935.5859375,10108.5546875,23797.595703125,26947.97265625,2765.21337890625,414.5051574707031,14921.4375,1245.4530029296875,56626.12109375,687931.1875,2609.88818359375,1141.715087890625,1007783.5,35007.93359375,63931.125,13392.7216796875,12013.6865234375,723.9376831054688,5606.43798828125,5736.5126953125,3288.5107421875,630898.875,107266.2734375,73976.1015625,24136.7421875,27429.150390625,502074.5625,10125.51953125,858976.4375,4409.75537109375,18520.708984375,942.927001953125,7324.5302734375,9122.1953125,3891.841064453125,31236.966796875,2776.10693359375,808.9194946289062,3285.38623046875,3803.776123046875,337554.28125,32654.69921875,5446.84326171875,4356.099609375,8582.845703125,185432.765625,44945.2734375,14171.30078125,8859.8046875,111033.7109375,56349.4375,77306.7890625,5150.69091796875,5196.4140625,39998.7265625,66840.4296875,52084.42578125,44363.46484375,41190.4921875,2633.21630859375,10009.0615234375,277.8349914550781,6516.6572265625,139267.78125,288814.21875,32385.185546875,136135.8125,164299.84375,14322.1689453125,44490.2734375,47779.0859375,2738.3505859375,8134.39501953125,8581.9072265625,175136.734375,16498.82421875,7610.09716796875,779325.1875,4547274.0,20215.123046875,77811.7265625,11253.1796875,10683.8046875
1966-01-01,55905.02734375,77970.3671875,217996.5,94825.7265625,97876.34375,2463.453857421875,134631.0,4454.5478515625,7713.0927734375,343.24664306640625,249475.25,4985.98486328125,1985.0460205078125,279.8866271972656,10282.6640625,378483.65625,2166.43310546875,4770.92626953125,63108.7109375,888646.5625,24697.73046875,79102.3359375,553.2833862304688,1488.75,9093.7998046875,9793.07421875,3744.2119140625,52340.18359375,83691.875,10984.0625,24630.357421875,28058.404296875,2945.525634765625,481.8141174316406,15418.802734375,1294.5330810546875,58220.6875,725656.0,2365.59326171875,1173.7545166015625,1038705.125,35022.5546875,69247.1328125,14089.5966796875,11980.1962890625,662.7827758789062,5650.44677734375,5882.5068359375,3540.430419921875,629057.75,101856.765625,80326.1796875,24780.4375,30386.33984375,531015.1875,10644.7978515625,948222.375,4526.43408203125,20453.470703125,973.2557983398438,7364.98779296875,9635.1728515625,4423.2197265625,32870.21875,2844.7470703125,893.6572265625,3288.822265625,4018.4345703125,358380.65625,31766.35546875,5600.38720703125,4571.3984375,9201.869140625,192782.890625,47766.2890625,14070.7177734375,8734.396484375,111124.8671875,58702.87890625,86998.90625,5534.88525390625,5305.19873046875,43483.50390625,70293.8359375,53352.171875,50173.07421875,43580.546875,2821.3203125,10401.857421875,265.8471984863281,7359.0791015625,146179.484375,312978.46875,33379.640625,139125.828125,168774.3125,12857.8046875,49003.52734375,54483.81640625,3079.326416015625,9469.2607421875,8994.0439453125,199207.421875,17883.986328125,8119.95654296875,799290.125,4850595.0,21204.822265625,78133.1875,14165.220703125,10259.2353515625
1967-01-01,64705.94921875,81752.4765625,227025.796875,98172.109375,95862.7421875,2794.4697265625,139972.0,4641.55615234375,8158.0068359375,396.9521179199219,270892.65625,5508.796875,2237.635009765625,311.56280517578125,9287.6875,390318.5625,2029.7166748046875,4636.962890625,66546.4453125,917839.5625,26140.814453125,82616.484375,615.2503662109375,1532.1917724609375,9572.5458984375,10372.103515625,4110.310546875,48803.5703125,88681.78125,11284.7197265625,26570.025390625,29269.9921875,3122.758056640625,522.4583740234375,15660.3564453125,1385.4078369140625,59499.81640625,763436.875,2712.51220703125,1195.9547119140625,1033708.125,32873.984375,73214.90625,14566.9189453125,12067.9111328125,755.4530639648438,5624.70068359375,6174.69580078125,3473.95751953125,680872.3125,108057.3125,88371.0,26557.548828125,29717.56640625,571532.6875,10751.4052734375,1049559.375,5342.0576171875,21341.5546875,1079.558837890625,7505.13037109375,10142.583984375,4573.99072265625,33145.3359375,2972.109619140625,953.6797485351562,3656.214599609375,4112.30322265625,377749.0625,32952.4375,6189.76806640625,4414.14013671875,9075.9482421875,205322.1875,44787.7109375,15045.0703125,8885.4208984375,95686.1171875,63184.76171875,88839.828125,6097.58642578125,5714.83056640625,45799.9140625,72657.890625,57137.23046875,53322.8046875,48627.6875,3056.99365234375,10418.048828125,279.94696044921875,8376.6845703125,157908.203125,331830.75,34248.03515625,144153.546875,175197.59375,14824.4873046875,55299.203125,56769.3984375,3231.82861328125,10365.9912109375,9073.9072265625,207922.734375,18943.744140625,8007.13916015625,821449.4375,4988774.0,20498.33203125,80606.015625,15720.9892578125,10499.05078125
1968-01-01,69923.53125,84158.703125,245552.84375,102891.5234375,98591.6015625,2865.50634765625,146026.609375,5102.94580078125,7336.67236328125,469.273681640625,298925.65625,5656.23388671875,2251.3662109375,348.3846740722656,9880.78515625,408864.15625,2493.047607421875,4648.7978515625,69925.7109375,893585.125,27887.892578125,87699.15625,609.7435302734375,1663.4796142578125,10174.23828125,12010.6171875,4271.345703125,52555.6796875,93825.828125,11316.3916015625,27970.025390625,32496.236328125,3142.727783203125,588.9568481445312,16418.4140625,1545.65771484375,62073.5,797888.8125,2741.841064453125,1226.5343017578125,1094570.125,33722.9609375,77965.21875,15736.759765625,12178.76171875,790.87353515625,5784.66259765625,6636.97021484375,3164.5,715490.25,117718.1796875,97145.4375,28453.52734375,31030.55078125,609228.1875,10639.4404296875,1183959.5,5735.9560546875,21320.26953125,1087.8580322265625,7971.71435546875,11079.58984375,4709.845703125,34147.92578125,3385.632080078125,1040.6375732421875,4227.10693359375,3470.945556640625,409380.96875,35330.5546875,6616.99755859375,4551.40234375,9121.8466796875,222965.265625,44505.921875,15559.5576171875,9098.025390625,95767.71875,65942.59375,94307.2734375,6538.5830078125,5973.171875,46932.78515625,77856.1953125,66831.046875,59680.84375,52263.57421875,3260.8212890625,10138.427734375,339.338623046875,9622.1884765625,165443.046875,355410.25,37444.27734375,149735.375,182403.828125,15512.2705078125,61793.390625,60582.3359375,3402.700439453125,10805.7216796875,9929.9306640625,222366.640625,20461.294921875,8390.3564453125,852906.4375,5243028.5,20886.9609375,89523.34375,16561.453125,9873.7734375
1969-01-01,75957.0,91175.359375,264196.0,107791.8203125,102148.2734375,3204.07080078125,156469.5,5297.46728515625,7631.96240234375,473.2658996582031,304896.625,5701.115234375,2135.20166015625,377.74560546875,10641.2783203125,429272.84375,2499.597412109375,4689.0751953125,74848.03125,981997.6875,31058.1796875,93516.1640625,593.0160522460938,1799.35791015625,10708.9892578125,13554.16015625,4804.2880859375,58752.15234375,100991.015625,12475.0517578125,28650.697265625,34973.4921875,3235.83251953125,616.9769897460938,17648.265625,1624.7486572265625,68794.6328125,855988.0,2912.2333984375,1226.195068359375,1181522.75,36466.5703125,87094.2265625,16557.095703125,11899.775390625,884.8458862304688,5941.00048828125,6585.43505859375,3248.4619140625,793002.25,115195.078125,101644.3671875,30014.1640625,35911.81640625,648254.1875,11069.310546875,1329013.625,5594.1201171875,22607.6796875,1100.3955078125,9079.03125,11511.310546875,5080.24072265625,37486.875,3481.798095703125,1149.26123046875,3965.3232421875,3563.19873046875,424846.59375,39392.703125,6992.6357421875,4814.10498046875,9581.4208984375,234327.703125,49272.44921875,16292.201171875,8302.92578125,118797.03125,68023.53125,101689.953125,7130.51220703125,6298.4267578125,49488.8125,82470.296875,69534.265625,68489.859375,56018.4296875,3602.71533203125,9021.1318359375,296.3672180175781,11040.0263671875,177347.328125,388359.59375,39011.65625,157704.703125,191717.3125,18959.17578125,69170.3515625,66643.328125,3737.06982421875,11122.3916015625,10288.71484375,233244.078125,21522.4765625,8966.9609375,870502.3125,5407466.0,22316.158203125,93977.34375,19162.162109375,12451.259765625
1970-01-01,86291.125,92712.234375,272997.25,114248.0546875,109554.40625,3511.11669921875,166533.203125,5777.435546875,7973.109375,580.787353515625,348495.90625,5410.68212890625,2659.548583984375,431.0437316894531,10974.03125,439377.09375,2625.6455078125,4983.63037109375,74805.71875,1098845.625,33841.71875,101364.0,652.1458740234375,1950.85888671875,11643.60546875,15078.8408203125,4901.5361328125,58237.0078125,103103.1484375,14591.0361328125,31032.505859375,39654.91015625,3531.01806640625,497.730224609375,17395.34765625,1816.1451416015625,74868.3359375,908321.0625,3380.228515625,1389.169921875,1264814.375,40511.19140625,95303.9296875,17793.525390625,11388.9228515625,972.3779907226562,6232.47021484375,6661.71533203125,3564.693115234375,805672.5625,127219.78125,112511.7421875,30461.271484375,40297.96484375,740623.5,12700.3994140625,1476902.0,5014.79248046875,21617.900390625,1106.69775390625,9729.1572265625,12371.9853515625,5318.4638671875,39379.8359375,3741.1484375,1248.0045166015625,4482.7255859375,3943.2451171875,451218.8125,37183.2109375,6923.72119140625,4985.6015625,10070.501953125,248752.46875,47612.80078125,16666.44921875,8655.927734375,163384.28125,70945.671875,110881.984375,8303.11328125,6803.40380859375,52897.28125,88129.375,73328.84375,74945.875,59792.04296875,3826.158203125,10006.3720703125,381.9549255371094,12513.265625,185980.96875,404800.8125,40933.8359375,169570.3125,203089.046875,20408.24609375,79180.203125,90346.9921875,3790.1259765625,10527.5302734375,13460.8837890625,249032.046875,23426.064453125,10631.3486328125,896192.4375,5413544.0,23966.962890625,106772.0859375,15843.7626953125,15178.54296875
1971-01-01,84672.7109375,96671.0546875,281414.625,119990.7421875,106466.625,3650.1572265625,172284.703125,5940.58447265625,8419.294921875,729.1971435546875,388091.84375,4995.34716796875,2680.3076171875,455.2763671875,10984.4736328125,460520.875,2548.720947265625,5092.09375,82607.3828125,1209572.0,37154.08203125,111453.3359375,682.6978759765625,2079.361572265625,11948.8662109375,14972.5458984375,5375.4970703125,56405.9453125,105669.1328125,15897.955078125,32670.68359375,40483.49609375,3554.3076171875,552.4581298828125,18118.69140625,1948.3486328125,76269.59375,964117.4375,3773.385498046875,1378.950927734375,1314419.375,41455.16796875,102847.3828125,18281.314453125,11935.1318359375,946.1211547851562,6307.7353515625,6709.232421875,4365.35400390625,838144.0625,135771.96875,129974.203125,31796.873046875,45098.88671875,759016.0,13090.6318359375,1578631.25,4997.02880859375,23202.134765625,985.1419067382812,9328.029296875,12788.474609375,6032.72607421875,46590.2578125,3812.519287109375,1320.4287109375,4543.2724609375,4050.705078125,470761.96875,39332.64453125,7412.30419921875,5246.10107421875,9858.09765625,262260.0,50748.43359375,17272.388671875,9049.916015625,179578.0625,75129.96875,113080.03125,9275.2060546875,7216.39306640625,54550.90234375,92969.0234375,79046.8828125,87696.1796875,67700.4453125,3843.359375,9970.24609375,445.88287353515625,14421.5595703125,188829.515625,425416.75,41038.09375,170781.140625,213552.4375,22619.6640625,90929.25,93780.2890625,3994.079345703125,10185.876953125,14623.966796875,254254.34375,24709.63671875,9982.3486328125,912980.375,5591324.5,24090.466796875,104464.7890625,12860.9375,16562.025390625
1972-01-01,96268.21875,98548.6328125,294774.1875,127493.4375,100050.546875,3620.2783203125,183618.359375,6030.46826171875,8561.658203125,909.125732421875,434479.78125,6131.94775390625,2438.1689453125,465.93463134765625,11548.66015625,487712.53125,2490.414306640625,4673.79638671875,81678.34375,1173206.125,41532.70703125,123222.25,699.2527465820312,2175.06640625,12777.4423828125,15584.0625,5684.14501953125,53470.6953125,110397.28125,17479.431640625,32977.78515625,43162.00390625,3777.427490234375,532.4752807617188,19005.85546875,2104.782958984375,81161.421875,1018262.4375,3649.52294921875,1397.6326904296875,1379408.625,35703.6171875,112992.4609375,19370.6875,12134.58984375,1007.0684204101562,6326.29296875,7143.80908203125,4346.96435546875,868861.625,149292.03125,146964.671875,34770.7890625,50195.1640625,798198.0625,14354.5810546875,1725236.375,5293.7861328125,25075.875,1180.9700927734375,9947.806640625,12538.4677734375,6613.4609375,48607.2734375,3323.204345703125,1429.211669921875,4687.48583984375,4350.04248046875,508222.09375,40228.00390625,7738.0390625,5337.78125,10152.90234375,274047.0625,55157.359375,17448.34375,8767.2490234375,193676.28125,77915.953125,116185.140625,9844.23828125,7740.0703125,55445.9296875,97141.953125,85605.546875,99904.90625,75162.4609375,3977.51416015625,10332.5458984375,477.39788818359375,16560.869140625,197104.890625,460887.3125,42026.265625,174428.015625,221711.78125,27853.955078125,105468.71875,98793.3359375,4051.510009765625,11119.494140625,17209.55859375,276239.1875,26281.283203125,11559.328125,943061.0625,5882464.5,23458.4296875,107931.9296875,13989.8427734375,18563.60546875
