year,Argentina - ARG,Australia - AUS,Austria - AUT,Belgium - BEL,Brazil - BRA,Canada - CAN,Chile - CHL,"China, Hong Kong SAR - HKG",Colombia - COL,Denmark - DNK,Finland - FIN,France - FRA,Germany - DEU,Greece - GRC,Ireland - IRL,Italy - ITA,Japan - JPN,Mexico - MEX,Norway - NOR,Peru - PER,Portugal - PRT,Republic of Korea - KOR,Singapore - SGP,Spain - ESP,Sweden - SWE,Switzerland - CHE,United Kingdom - GBR,United States - USA
1960-01-01,2073.0,1978.310818242911,2059.2820334714675,1996.0701142751911,2134.0,2090.80586844667,2408.3814432989684,2723.590919673137,2218.0,1909.4682363827562,2030.5192163301858,2188.477149803999,2181.88667177432,2227.8925763267002,2303.6219955412025,2164.7137035267747,2172.8989326791393,2270.620078740157,2023.7921798667078,2390.2817163732707,2256.392810760706,2748.84246781438,2400.3904262894707,2130.3740283524685,1888.7788407309574,1964.8275390960641,2103.5836583496784,1935.2630406249834
1961-01-01,2066.2005116511955,1974.661182050351,2046.6297556277507,1984.2296008790754,2135.097456752394,2066.495353030934,2389.305154639175,2703.40309552755,2213.152604273491,1921.4111905547893,2029.4869238968708,2165.189575577066,2155.2598478780305,2217.990719519792,2306.615741512754,2148.0321997267347,2175.313753199423,2261.5888776829674,2009.408821807579,2378.753284648486,2243.9657280255847,2788.837186659506,2395.0510097492756,2112.1173680536886,1890.9561074061517,1967.6351345957917,2066.8111063219444,1920.714524031754
1962-01-01,2059.42332578276,1971.0182787959195,2034.0552136803476,1972.4593243731777,2136.1954778962236,2065.0449993233187,2370.2288659793808,2683.3649077465097,2208.3158024357685,1933.4288430913396,2022.2608768636674,2177.7688906552735,2118.1436691135063,2208.1328714632455,2309.6133781030617,2098.9479680413715,2152.700040754562,2252.593597471057,1995.1276881720426,2367.280455046716,2231.6070874449356,2829.413815000804,2389.723470180709,2094.9130941626318,1878.9811406925837,1970.446741945075,2029.0447596219053,1940.2341139797013
1963-01-01,2052.6683692420384,1967.3820960585276,2021.5579300180605,1960.758868118406,2137.2940637217393,2050.357568533969,2327.3072164948444,2663.475247194063,2203.4895713340957,1945.5216612005684,2019.1639995637229,2159.3423245722174,2087.6841963230545,2198.318836560402,2312.6149103683038,2084.208612685918,2146.327614817486,2243.6340952322735,1986.1271121351763,2355.8629593965243,2219.3165120736144,2870.5808194226483,2384.4077811646935,2077.9846098021853,1872.4493406670013,1973.2623668765552,2020.5966819849405,1928.448832221923
1964-01-01,2045.9355691163166,1963.752621440001,2009.137429964146,1949.1278179471356,2138.3932145193417,2039.108422939068,2322.538144329896,2643.7330129554016,2198.6738878663355,1957.690115012836,2043.9390179632776,2166.1525250060995,2099.182143005543,2188.548420083931,2315.62034337123,2078.0772958097614,2153.5291444085906,2234.710228662728,1996.1277521761388,2344.500530819879,2207.0936270425004,2779.9308988093017,2379.103916340919,2032.2558304398954,1841.9676072142827,1976.0820151310647,2020.833649721053,1935.1488315639551
1965-01-01,2039.224852732037,1960.1298425650375,1996.793241758286,1937.565762148547,2139.4929305795795,2021.2145488029464,2336.8453608247414,2624.1371122759297,2193.868728980839,1969.9346775989789,2043.9390179632776,2153.158429808347,2084.96099842457,2178.821428171966,2318.629682181169,2020.4867754004515,2135.1222743113863,2225.8218560245323,1951.124871991807,2333.1929037259106,2194.9380595470648,2900.7974596270974,2373.8118494077116,2024.5305290937238,1831.0812738383117,1978.9056924576391,1997.5679558788443,1955.0965674799538
1966-01-01,2032.536147654013,1956.5137470811662,1984.5248965386695,1926.0722914540543,2140.593212193152,1995.1142568850903,2355.921649484535,2604.6864605007754,2189.0740716763376,1982.2558249887006,2020.1962919970374,2144.5720216257964,2058.636752072557,2169.1376678242596,2321.6429318740375,2039.1219064702043,2142.9473821835945,2216.96883614355,1952.1249359959033,2321.9398138047072,2182.8494388360004,2882.6674755044282,2368.531554121902,2025.9194291670867,1816.9290404495496,1981.733404613529,1941.6097513129469,1963.9077045758459
1967-01-01,2025.869381684646,1952.9043226587034,1972.331928324183,1914.646999022816,2141.6940596509075,1985.598111227702,2179.4659793814426,2585.379981014755,2184.289893001831,1953.6618275132346,2002.6473206306862,2110.471647251372,2020.9154182194814,2159.4969468983522,2324.6600975323495,2063.561779052556,2156.571117509962,2208.151028407152,1936.1239119303632,2310.740998021134,2170.8273961999116,2918.9274437497666,2363.2630042986957,2034.7692098572504,1786.447306996831,1984.565157364212,1929.527471747037,1941.092771010088
1968-01-01,2019.2244828631483,1949.301556990712,1960.2138739967124,1903.289480427336,2142.795473243844,1961.477696249709,2260.540206185566,2566.216605182781,2179.516170056477,1909.1918314394443,1987.1629341309647,2086.6022392741665,2008.4088797227394,2149.8990741057605,2327.681184245224,2057.12186659667,2160.3400313320585,2199.3682927619843,1897.121415770609,2299.596194608687,2158.871564960071,2973.317396117775,2358.0061738115446,1997.0129985479712,1742.9019734929473,1987.4009564834034,1922.201533539581,1937.4176623240005
1969-01-01,2012.6013794647647,1945.7054377929585,1948.1702732835522,1891.999333639146,2143.8974532631087,1942.4683830171634,2289.154639175257,2547.1952722907135,2174.7528799894844,1869.701834925975,1968.5816703312987,2011.9496980934723,1988.6404801633735,2140.3438590081823,2330.7061971083926,2056.003532271113,2147.0117768818495,2190.6204897117436,1849.1183435739886,2288.505143063371,2146.9815804572327,3039.7940045675623,2352.7610365920154,1988.7646358668735,1720.0406734034082,1990.2408077530695,1912.6047826343597,1938.0997951277081
1970-01-01,2006.0,1942.115952803873,1890.1374191878654,1880.776159014576,2145.0,1925.0,2160.389690721649,2528.314929486646,2170.0,1845.3498370759871,1979.9368870977614,1992.5079752298745,1973.2090254052969,2098.642727602328,2333.735141224209,2034.7423330122904,2137.217316397446,2181.9074803149606,1835.117447516641,2277.467584137616,2102.068946081272,2918.927443749766,2347.5275666296616,1996.7204568679551,1703.7111733394518,1993.0847169634367,1870.8944071238366,1893.423642727384
1971-01-01,2002.661112336839,1923.4794331106455,1885.2879642683104,1871.717158248662,2128.540691888769,1912.0,2255.7711340206183,2527.0505596913617,2160.2899487883,1809.7368402202217,1944.356889126645,1989.7316959282778,1941.236664893465,2099.6047478699265,2316.731129994578,1982.4567400498458,2129.2954316070295,2180.1458878485782,1814.1161034306197,2266.4832598342123,2101.8263461704846,2913.085126914007,2347.4711252343322,1996.836456894497,1672.183170131721,1982.7786482828258,1830.1424082915082,1877.6512050654126
1972-01-01,1999.3277820868523,1903.1486843543973,1905.7499210543829,1845.7231560509388,2112.2076815973514,1904.0,2270.078350515464,2525.4067852850185,2150.62334692892,1751.8478453311805,1928.6588900217946,1936.627697591312,1916.1227287185563,2101.0935571344367,2296.5879166918307,1963.6631717792213,2131.6647734032354,2178.38571762766,1781.113991295443,2255.5519134002816,2101.42927870173,2907.230374325146,2347.383976495158,1992.6924559463116,1633.287166174353,1958.4653613123046,1851.366498164102,1874.2224326106957
1973-01-01,1996.0,1889.80663048311,1900.7312997332072,1818.9681537888753,2096.0,1898.0,2246.2329896907218,2523.827246025217,2141.0,1709.5088490692463,1912.9618909168871,1920.4269431474868,1885.5623967466793,2102.54579634714,2284.031108399165,1947.480475852134,2117.5442456874484,2176.6269685039374,1767.1130952380952,2244.6732893212784,2100.0728866917684,2901.447749104614,2347.305265022924,1980.854453237668,1617.4051645584818,1931.66650101595,1860.2523532946127,1872.6631766817131
1974-01-01,1992.842194737323,1907.0665890626328,1978.6624548216928,1788.8881512456915,2079.7706946906646,1891.0,2227.1567010309277,2522.5491942869107,2131.297659272811,1691.491850659948,1906.6828912749354,1888.4677733932053,1852.278866876318,2103.959626463523,2247.6686843850152,1917.0175348588557,2058.716300508002,2175.115104108252,1745.1116871479776,2237.430810112556,2109.889958462179,2895.6477138296204,2347.299773496622,1987.0274546501073,1599.0721626932404,1902.8223681467446,1845.2970025070667,1844.7812233583952
1975-01-01,1989.6893853334022,1893.8304245077838,1903.971649817364,1778.8241503948072,2063.6670527166457,1872.0,2270.0783505154636,2521.6772360723417,2121.6392865117996,1616.5078572802067,1899.14289170489,1862.6045895044797,1812.5403493947351,2105.3333459444807,2237.727877819946,1901.552579304698,2030.2618730074612,2173.6042898392,1728.110599078341,2230.211698894774,2110.0254218759787,2889.8526528558873,2326.0077037792216,1996.8554568988445,1575.3861602833726,1894.040031267439,1814.0795925120067,1813.2479935405502
1976-01-01,1986.5415638844554,1904.2075775187855,1898.0423832600304,1780.3851505267855,2047.6881010680984,1862.0,2284.385567010309,2518.052230744302,2112.024682467929,1623.5383086818533,1896.1288918767575,1888.8861637501134,1824.9460287100517,2106.665396458827,2232.2342741919424,1899.4646730841955,2057.4999942858867,2172.094524967374,1674.4704570791528,2223.0158802706846,2105.6685409550582,2884.037694677111,2352.151567647683,2006.9664592123345,1588.1461615816042,1890.915615336521,1807.0241265230372,1809.297069805971
1977-01-01,1983.3987224992045,1906.007695898245,1904.783096738778,1754.3521483257653,2031.8328742691826,1834.0,2255.7711340206183,2507.4992247562855,2102.453648795095,1598.4268222373637,1887.8368923495934,1850.328210658758,1806.8871895034652,2107.9543673747753,2202.6734546696453,1864.7463767819902,2064.0062837922883,2170.585808763872,1638.286334056399,2215.84327908631,2106.602032530596,2878.3147610717074,2297.7609593120305,2000.7764577960054,1557.8521584994237,1863.4857832936573,1816.9293401588136,1809.3766545064927
1978-01-01,1980.2608532988565,1906.8548104297552,1844.0675733388794,1735.8991467656135,2016.100414319727,1836.0,2279.6164948453606,2497.36215940412,2092.9259880460377,1575.1555203735686,1893.2558920405852,1819.0271586188412,1787.8250814520682,2109.609746787684,2183.053441712417,1854.7400730313586,2067.987690657049,2169.0781405002995,1601.81236673774,2208.6938204301587,2091.966986415001,2872.5321358511756,2297.0075986712177,1973.552451566903,1520.77815472743,1849.038560997643,1818.037470303431,1815.7156366846689
1979-01-01,1977.127948417083,1912.2551655681336,1876.680397494756,1718.7871453188397,2000.489770637345,1841.0,2303.461855670103,2488.4109053842967,2083.441503668265,1563.8428151287078,1869.1428934155842,1815.5414411216611,1775.785855314344,2111.049325251222,2161.3406273730116,1848.2283483652768,2072.7030528158175,2167.571519448767,1579.9158780231335,2201.5674296324423,2076.958582106729,2866.856458107797,2272.6187095288165,1929.8564415688552,1511.5731537908925,1836.3763440462003,1815.4929996725575,1817.713816712605
1980-01-01,1974.0,1909.762827310066,1881.0353852307107,1698.9741436437034,1985.0,1827.0,2317.7690721649487,2477.289018726588,2074.0,1577.4359504460808,1790.008897928054,1806.1337838434697,1756.723747262947,2111.699221382747,2122.100601458455,1849.2610584820998,2073.943760557551,2166.06594488189,1580.082135523614,2194.464032264296,2058.1627344262856,2860.9420139037084,2281.1913850224087,1918.122438884008,1514.605154099375,1821.839598051816,1785.3963824804425,1801.6114449126944
1981-01-01,1961.2300566642687,1894.8094482427784,1819.1412239725898,1676.3321417293832,1974.0968232429414,1812.0,2360.6907216494847,2466.156309287553,2063.2231457525518,1546.3958542023458,1783.7668834417207,1785.5871871960385,1734.6518326771188,2111.7839285697414,2090.70858072689,1852.643336181761,2068.8276275419466,2167.0030791189843,1570.1976685250886,2187.383554137001,2040.8198738472229,2876.9249301825603,2308.3128852331147,1884.020431081156,1506.2221532464694,1802.5231212942633,1749.1199345067541,1790.005617000504
1982-01-01,1948.5427229804106,1870.6583170695112,1835.118889319159,1661.973140515368,1963.2535352835632,1788.3629543992422,2308.2309278350517,2441.659912109749,2052.5022898597185,1552.8432760201374,1776.4013754816258,1714.378401023063,1723.615875384205,2111.3944872242237,2083.3837758894183,1862.8739519548897,2068.6185422386548,2167.9406188010653,1558.7639311043567,2180.3259213012093,2020.728746496359,2889.9110496590215,2314.7853058964624,1862.9254262544255,1520.3321546820532,1791.4211350048624,1745.4192457438703,1770.6660914062809
1983-01-01,1935.9374645408404,1857.0141304391404,1829.9122813501244,1667.9081410171564,1952.46980716562,1780.2158089273887,2265.309278350516,2410.825047869102,2041.8371413445925,1545.9577289347853,1766.1139508789427,1696.302622285008,1710.5733804016704,2108.8662537596265,2073.1813691516395,1867.663349478232,2074.8601641942337,2168.878564103546,1552.791878172589,2173.2910600461723,2002.7320532083768,2907.8918304726676,2320.0681251926044,1830.7574188940905,1529.6161556266284,1776.667920213431,1739.5484800370132,1779.871536983351
1984-01-01,1923.4137503950928,1878.1584611765384,1825.9255298415096,1691.8771430436711,1941.7453117397527,1791.1159497012409,2298.692783505155,2381.8462839464837,2031.2274107422315,1540.8368585325666,1761.8672852290615,1689.650159744409,1699.5374231087562,2108.4954836262514,2055.130957230969,1856.6703849427547,2089.279754212078,2169.8169152019154,1548.3870967741937,2166.2788968989707,1985.7291143674372,2903.8961014029796,2329.584559096328,1786.692408811612,1531.790155847816,1757.5705870125414,1745.752522133004,1795.5766410898955
1985-01-01,1910.9710530274576,1869.2602361635716,1821.5303009740574,1697.8721435505324,1931.079723653562,1794.9056197966493,2298.692783505155,2356.0827852171233,2020.6728100918021,1527.466410674264,1755.874350729656,1654.322052741584,1676.4622396781178,2107.4692134051193,2062.194161895631,1850.5262185480026,2076.7673324168363,2170.7556722717386,1542.4227562530652,2159.2893586237465,1971.3137835062944,2878.922794717354,2288.4952089148314,1776.7004065253504,1535.8221562580409,1751.3288266093944,1748.0817322354376,1801.1373779503742
1986-01-01,1898.6088483347608,1873.8744790240721,1820.7109722760335,1677.896141861615,1920.47271934174,1798.5189261305231,2332.076288659794,2360.248653846954,2010.1730529287643,1530.9511214557765,1739.292364990689,1648.3516838518387,1657.4001316267208,2107.8125604544957,2096.725384700413,1863.0144056620961,2078.4952318609803,2171.6948354886567,1538.4615384615386,2152.3223722209386,1958.9087589839007,2907.891830472667,2322.786802353514,1768.667404687326,1533.843156056693,1742.7520818444789,1742.7367782997426,1780.8393649782402
1987-01-01,1886.326615604288,1871.6334166372415,1808.7162521787484,1662.9191405953497,1909.9239770162528,1807.0274022357642,2351.1525773195876,2324.3062864216995,1999.7278542770955,1493.0265176090275,1746.2613184742083,1659.3856647804537,1634.3249481960825,2110.0712505021993,2076.0589710520458,1877.6406194707943,2083.968170106206,2172.6344050283865,1510.9353187529084,2145.37786492652,1974.2623785852293,2876.9249301825603,2353.905845166698,1760.6494028527336,1543.9461570845951,1741.4824592682498,1747.566737655391,1788.5174213286757
