year,Argentina - ARG,Australia - AUS,Austria - AUT,Barbados - BRB,Belgium - BEL,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Cameroon - CMR,Canada - CAN,Chad - TCD,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,Finland - FIN,France - FRA,Gabon - GAB,Germany - DEU,Greece - GRC,Guatemala - GTM,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Luxembourg - LUX,Malaysia - MYS,Malta - MLT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Taiwan - TWN,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,0.4410236179828644,0.6858193278312683,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6584557294845581,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.5942683219909668,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6367416977882385,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1961-01-01,0.4410236179828644,0.6805217862129211,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6654748916625977,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6023328900337219,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6337034106254578,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1962-01-01,0.4410236179828644,0.6706364154815674,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6756666898727417,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6173798441886902,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6291072964668274,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1963-01-01,0.4410236179828644,0.6617007255554199,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6806215643882751,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6226468086242676,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6263846755027771,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1964-01-01,0.4410236179828644,0.6681882739067078,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6776551008224487,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6179929375648499,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6243788003921509,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1965-01-01,0.4410236179828644,0.6805416345596313,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6713692545890808,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6240573525428772,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6193597912788391,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1966-01-01,0.4410236179828644,0.6760570406913757,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6669395565986633,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6373468041419983,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6228949427604675,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1967-01-01,0.4410236179828644,0.6703483462333679,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6626394987106323,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6321982145309448,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.630079448223114,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1968-01-01,0.4410236179828644,0.6642485857009888,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6677345633506775,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6421721577644348,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.634225606918335,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1969-01-01,0.4410236179828644,0.6568861603736877,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.6553200483322144,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6401479244232178,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6438753008842468,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1970-01-01,0.4410236179828644,0.6710271835327148,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5131999850273132,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.768659234046936,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5926932692527771,0.3926834762096405,0.6922876834869385,0.655757486820221,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5541441440582275,0.6205279231071472,0.48713111877441406,0.7773509621620178,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7389029860496521,0.4378337264060974,0.6429725885391235,0.6467701196670532,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6373655796051025,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5901230573654175,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6489855647087097,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6601983904838562
1971-01-01,0.4410236179828644,0.6754521131515503,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5650725960731506,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.7701014876365662,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5921546220779419,0.3926834762096405,0.6922876834869385,0.6556384563446045,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5625907778739929,0.6205279231071472,0.5021457076072693,0.7668428421020508,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7677851915359497,0.4378337264060974,0.6429725885391235,0.6518809795379639,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6544913649559021,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.6232500672340393,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.63764888048172,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6616491675376892
1972-01-01,0.4410236179828644,0.6699352264404297,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5399425029754639,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.7709072232246399,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5829179883003235,0.3926834762096405,0.6922876834869385,0.6591647267341614,0.49964165687561035,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5790369510650635,0.6205279231071472,0.5021457076072693,0.6221441030502319,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.7997601628303528,0.4378337264060974,0.6429725885391235,0.6335547566413879,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6431518793106079,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.6265208721160889,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6394450664520264,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.652342677116394
1973-01-01,0.4410236179828644,0.6922356486320496,0.6329604387283325,0.7334687113761902,0.6446347236633301,0.5165501832962036,0.3491850197315216,0.5146055817604065,0.4604625999927521,0.555014967918396,0.7625473141670227,0.45519956946372986,0.4776756763458252,0.5921685695648193,0.46272388100624084,0.4757373631000519,0.5754779577255249,0.5693715810775757,0.499210387468338,0.6416286826133728,0.6441736221313477,0.5564942359924316,0.3926834762096405,0.6922876834869385,0.6540071368217468,0.42810484766960144,0.6681209206581116,0.4881878197193146,0.5462682247161865,0.634732723236084,0.7537503838539124,0.44481533765792847,0.3503643870353699,0.5555878281593323,0.582946240901947,0.5943796634674072,0.5924142003059387,0.6205279231071472,0.4747178256511688,0.6086702346801758,0.5459451675415039,0.30572617053985596,0.5371466875076294,0.5061092972755432,0.42808985710144043,0.5076714754104614,0.4184567332267761,0.5698032975196838,0.7289390563964844,0.6285071969032288,0.5791801810264587,0.7654170989990234,0.5982488393783569,0.4643402099609375,0.8088477253913879,0.4378337264060974,0.6429725885391235,0.6188516616821289,0.47132834792137146,0.8009196519851685,0.48660239577293396,0.4020622968673706,0.6031678915023804,0.6271819472312927,0.43695175647735596,0.6189156770706177,0.6833442449569702,0.7462741732597351,0.6613681316375732,0.5745236277580261,0.5515008568763733,0.3849981129169464,0.4867294728755951,0.5514318346977234,0.6406667232513428,0.5168891549110413,0.42262211441993713,0.4457208812236786,0.6467351317405701
