,deflator inflation - forecast,cpi inflation - forecast,deflator inflation - actual,cpi inflation - actual,nominal interest
1971-04-01,2.9851,,5.067634772229956,4.381443298969079,4.3
1971-07-01,3.7037,,5.27302323287131,4.081632653061207,6.04
1971-10-01,3.5414,,4.766077600895757,3.266331658291466,4.91
1972-01-01,3.5303,,4.771495708051576,3.499999999999992,4.28
1972-04-01,3.4164,,4.056420693898821,2.9629629629629672,4.96
1972-07-01,3.1359,,3.9921281979195866,3.1862745098039325,4.96
1972-10-01,3.4194,,4.447026022304845,3.406326034063256,5.52
1973-01-01,3.5392,,4.064445258147198,4.8309178743961345,5.89
1973-04-01,3.3858,,5.012736535662277,5.995203836930463,6.85
1973-07-01,3.6128,,6.0421735604217375,7.3634204275534465,8.39
1973-10-01,3.6999,,6.793611247052556,8.94117647058823,7.4
1974-01-01,3.7609,,7.569493314567199,10.138248847926267,7.42
1974-04-01,3.7723,,8.44234601056919,10.859728506787313,8.62
1974-07-01,4.0999,,9.492245591671967,11.946902654867241,8.8
1974-10-01,5.3651,,10.510748208631892,12.095032397408211,8.05
1975-01-01,5.6522,,10.929386269779595,10.460251046025103,6.83
1975-04-01,5.6126,,9.978030756940282,9.183673469387754,6.9
1975-07-01,6.647,,8.731421475416191,7.905138339920947,7.11
1975-10-01,7.6814,,7.39246805141931,7.129094412331405,6.95
1976-01-01,7.2412,,6.115001842978263,6.060606060606055,5.81
1976-04-01,5.5917,,5.615080085715318,5.981308411214958,5.92
1976-07-01,5.9454,,5.125093686427062,5.494505494505497,6.2
1976-10-01,6.2087,,5.247823645043526,5.035971223021574,5.5
1977-01-01,6.1832,,5.821667998193747,6.428571428571428,5.29
1977-04-01,5.9002,,6.245056570033358,6.701940035273357,5.44
1977-07-01,6.055,,6.165336954676626,6.423611111111094,5.94
1977-10-01,5.729,,6.5503785478437715,6.67808219178081,6.97
1978-01-01,5.644,,6.3876579681601875,6.375838926174482,7.28
1978-04-01,6.2678,,6.9137400873927835,7.438016528925617,7.45
1978-07-01,5.8989,,7.422212273352291,8.482871125611746,8.39
1978-10-01,5.9557,,7.299589945847829,8.988764044943842,9.14
1979-01-01,5.9044,,7.691833019653838,10.252365930599371,10.41
1979-04-01,6.5327,,8.258908298265277,11.076923076923073,10.12
1979-07-01,6.9055,,8.778875922838768,11.879699248120312,9.64
1979-10-01,7.0927,,8.576679599754943,13.254786450662737,12.44
1980-01-01,7.3262,,8.872908549163405,14.592274678111572,12.06
1980-04-01,7.9278,,8.797785172963458,14.265927977839322,13.3
1980-07-01,8.0251,,8.847595851235601,12.768817204301076,8.65
1980-10-01,8.1871,,9.648297912356597,12.353706111833551,12.49
1981-01-01,8.6957,,10.220783663587806,10.611735330836458,14.08
1981-04-01,8.8416,,9.793085721629623,9.696969696969692,14.32
1981-07-01,8.934,,9.415698697641673,10.96543504171632,15.72
1981-10-01,9.3725,,8.480764518500372,8.912037037037024,15.38
1982-01-01,9.0619,,7.150531216425948,6.884875846501148,14.32
1982-04-01,8.6787,,6.433337235163283,7.182320441988943,13.98
1982-07-01,7.8029,7.8249,5.949125669247901,4.940923737916236,13.24
1982-10-01,7.5188,7.6998,5.229156784350919,3.825717321997879,9.32
1983-01-01,7.0197,6.6248,4.585561497326207,3.5902851108764455,8.62
1983-04-01,6.2378,6.0374,4.0098541671249155,2.4742268041237248,8.98
1983-07-01,5.8739,5.9749,3.6457881495619127,2.763561924257929,10.2
1983-10-01,5.5898,5.4994,3.3593783540119437,3.7871033776867957,9.81
1984-01-01,5.0012,4.5245,3.623929438834206,4.892966360856277,9.9
1984-04-01,4.8237,4.7248,3.741065008670641,4.325955734406439,10.9
1984-07-01,4.9494,4.5375,3.5614890455962556,4.2828685258964105,12.03
1984-10-01,5.5327,5.1498,3.5513281136424935,4.043392504930954,10.9
1985-01-01,4.9774,4.8121,3.525977096568589,3.790087463556846,9.02
1985-04-01,5.3812,5.2997,3.30853124044439,3.6644165863066513,9.14
1985-07-01,4.746,4.9494,3.0167101089086934,3.2473734479465,7.86
1985-10-01,4.4131,4.4247,2.8238503038446883,3.791469194312791,8.01
1986-01-01,3.993,4.1242,2.3235492711601857,2.1535580524344455,7.73
1986-04-01,4.329,4.3497,2.0541457831800836,1.7674418604651132,6.44
1986-07-01,4.2132,4.2497,1.8574454730895917,1.757631822386685,6.27
1986-10-01,3.9744,3.8497,1.8432190992607733,1.187214611872145,5.72
1987-01-01,3.3333,3.5871,1.987423336697458,2.8414298808432603,5.78
1987-04-01,3.1524,3.4112,2.3066957984493097,3.7477148080438782,6.5
1987-07-01,2.6155,3.4999,2.661223546629188,4.2727272727272725,6.68
1987-10-01,3.1115,3.6248,2.918757421381235,4.332129963898912,7.59
1988-01-01,3.7037,3.8997,3.0657684402831675,3.832442067736186,6.99
1988-04-01,3.9182,4.3625,3.352736619292407,3.96475770925111,7.01
1988-07-01,4.142,4.4999,3.8020745409187207,4.184829991281602,7.75
1988-10-01,3.6195,4.3749,3.870631582865003,4.4117647058823595,8.11
1989-01-01,3.761,4.1997,4.137816429402319,4.892703862660941,9.05
1989-04-01,3.9435,4.5749,4.2332589693888645,5.1694915254237195,9.36
1989-07-01,4.1838,4.975,3.7531622696060696,4.435146443514637,7.89
1989-10-01,4.3689,4.9,3.597405854742197,4.639602319801162,7.99
1990-01-01,4.5564,4.8499,3.6347517730496604,5.237315875613735,7.92
1990-04-01,4.5777,4.9123,3.6911633129243393,4.673650282030639,8.4
1990-07-01,4.3205,4.65,3.821167946775339,6.169871794871806,7.94
1990-10-01,3.9844,4.225,3.8546674506277467,6.254948535233562,7.55
1991-01-01,4.0217,4.3499,3.751924721984601,4.821150855365497,6.64
1991-04-01,3.8168,4.1998,3.355046104390502,4.695919938414161,6.24
1991-07-01,4.384,4.4494,3.279596047709332,3.396226415094339,6.31
1991-10-01,4.2649,4.5114,3.123803180417939,2.980625931445613,5.33
1992-01-01,3.4944,3.6624,2.5031743152548636,3.189910979228472,4.15
1992-04-01,3.3824,3.8375,2.3687139863802997,3.0147058823529305,4.3
1992-07-01,3.3528,3.7724,2.0709482506578336,2.9927007299270114,3.6
1992-10-01,3.193,3.5499,2.1669277098706807,2.966714905933454,3.3
1993-01-01,3.2498,3.3999,2.36000064349029,3.0194104960460155,3.5
1993-04-01,3.1074,3.5249,2.353881826177351,2.9978586723768963,3.24
1993-07-01,2.7909,3.325,2.460177272799613,2.7639971651311157,3.47
1993-10-01,2.7066,3.2499,2.315363583202945,2.8109627547435068,3.39
1994-01-01,2.7802,3.2125,2.231721883447535,2.6517794836008246,3.54
1994-04-01,2.7558,3.3749,2.1169559579420794,2.494802494802495,4.82
1994-07-01,3.0522,3.3,2.0966965381210345,2.965517241379323,5.48
1994-10-01,2.8332,3.03,2.0930519941919856,2.597402597402576,6.11
1995-01-01,2.7631,3.2,2.158406100110688,2.7872195785180187,7.05
1995-04-01,2.8924,3.275,2.155686790489897,3.0425963488843744,6.27
1995-07-01,3.0517,3.325,2.0734137548108267,2.54521098459477,5.59
1995-10-01,3.1029,3.425,2.0123159789992906,2.5316455696202667,5.59
1996-01-01,2.8929,3.4125,1.948775055679297,2.8439153439153486,5.09
1996-04-01,2.9362,3.525,1.8825538032978484,2.8215223097112663,5.54
1996-07-01,2.5677,3.275,1.715350223546963,3.0045721750489918,5.85
1996-10-01,2.3505,2.95,1.7679426901799022,3.378817413905133,5.55
1997-01-01,2.3623,2.775,1.8864303954418737,2.7652733118971096,5.61
1997-04-01,2.5023,2.8749,1.6669606632563116,2.233567326100827,5.99
1997-07-01,2.505,3.0025,1.7772633368009272,2.21940393151554,5.54
1997-10-01,2.565,3.025,1.5739998542592781,1.6970458830924073,5.46
1998-01-01,2.5782,3.0625,1.1140890981528262,1.3767209011263937,5.24
1998-04-01,2.423,2.9999,1.1523669066828557,1.6229712858926382,5.38
1998-07-01,2.455,2.8499,1.138719336634808,1.4267990074441794,5.36
1998-10-01,2.2968,2.6,1.0875959537987034,1.606922126081578,4.12
1999-01-01,2.2338,2.2624,1.2723156718342565,1.7283950617283939,4.51
1999-04-01,2.0483,2.4499,1.4151145671035925,1.9656019656019597,4.69
1999-07-01,2.0345,2.475,1.345099992883081,2.629969418960254,5.03
1999-10-01,1.8525,2.3124,1.6209387818829413,2.676399026763998,5.43
2000-01-01,1.5446,2.1749,1.96513963951217,3.762135922330101,6.12
2000-04-01,1.7405,2.2,2.2142665858574384,3.7349397590361377,6.15
2000-07-01,1.8675,2.3787,2.4494382022471894,3.45649582836709,6.08
2000-10-01,1.813,2.525,2.4331308052238265,3.4360189573459543,6.01
2001-01-01,1.9881,2.4625,2.4295486395360166,2.9824561403508643,4.81
2001-04-01,2.215,2.6062,2.407611693325995,3.193960511033689,3.98
2001-07-01,2.3743,2.7125,2.2126562842728736,2.5921658986175045,3.62
2001-10-01,2.2595,2.675,1.9839917095054282,1.603665521191311,2.33
2002-01-01,2.1218,2.4875,1.6323047330064178,1.3628620102214661,2.16
2002-04-01,2.0696,2.5125,1.3774809468666716,1.0692177827799743,2.48
2002-07-01,2.0891,2.6,1.464631562005425,1.516002245929271,1.96
2002-10-01,1.7377,2.1498,1.7341426890576495,2.4802705749718212,1.65
2003-01-01,1.7832,2.1999,1.9113119277060164,3.025210084033625,1.36
2003-04-01,1.9281,2.3499,1.9139582143473888,1.948775055679297,1.27
2003-07-01,1.8936,2.2874,2.0079312623925816,2.378318584070782,1.12
2003-10-01,1.9253,2.1875,2.0370881467754787,2.0352035203520247,1.25
2004-01-01,1.8409,2.125,2.2652070990439643,1.7400761283306032,1.24
2004-04-01,1.7748,2.0923,2.7290499152873737,3.1676679410158393,1.43
2004-07-01,1.7226,1.8247,2.792572146846539,2.5391680172879516,2.1
2004-10-01,1.7551,2.125,2.962428676309581,3.3423180592991875,2.23
2005-01-01,1.5686,1.6274,3.050145153658268,3.2068412613575736,2.86
2005-04-01,1.8331,2.1318,2.961027098345692,2.541026998411855,3.32
2005-07-01,2.1528,2.3,3.244919570369631,4.741833508956805,3.64
2005-10-01,1.9992,2.263,3.2925105392862086,3.3385498174230532,4.18
2006-01-01,1.9775,2.25,3.1993844473677813,3.4179181771103018,4.45
2006-04-01,2.2313,2.375,3.356415880135044,4.1817243159525175,4.9
2006-07-01,2.2452,2.4372,3.1380497692251375,2.012072434607637,5.22
2006-10-01,2.1876,2.393,2.6631626115706464,2.5239777889954462,5.01
2007-01-01,2.1911,2.4295,2.9101928904708974,2.798197295943927,5.06
2007-04-01,2.2606,2.3865,2.728833361150196,2.692765113974227,4.93
2007-07-01,2.3919,2.6283,2.5737557418193724,2.8338264299802685,4.96
2007-10-01,2.2698,2.618,2.6223899964610053,4.108813392417532,4.1
2008-01-01,2.1312,2.4563,2.03211180704872,3.9749035501344343,2.71
2008-04-01,2.2922,2.4341,1.8184772139118621,4.935966105947864,1.74
2008-07-01,2.2673,2.2285,2.0278848595369547,4.953319875136075,2.28
2008-10-01,2.2425,2.4424,1.862218799213733,-0.02222800255385904,1.42
2009-01-01,2.2445,2.3819,1.406402107312621,-0.4464787676623838,0.44
2009-04-01,2.3917,2.6651,0.7499601085048768,-1.2291746182109153,0.55
2009-07-01,2.2277,2.523,0.1153859206552088,-1.377942862886472,0.48
2009-10-01,1.9411,1.756,0.18958843510545886,2.8141231232083674,0.37
2010-01-01,1.253,1.5551,0.5567916153733199,2.2861714393279886,0.35
2010-04-01,1.4694,1.7069,1.216118376397124,1.1215605940686268,0.45
2010-07-01,1.4576,1.8022,1.4033739731754258,1.1183122472331775,0.29
2010-10-01,1.4816,1.6329,1.6704024509748505,1.437793022217937,0.23
2011-01-01,1.5317,1.7883,1.8981086302169992,2.619241510354109,0.27
2011-04-01,1.6558,1.8775,2.0732974930424364,3.5023181506360412,0.25
2011-07-01,1.5026,1.7209,2.3767870474577624,3.812621692818685,0.19
2011-10-01,1.522,1.609,1.9066294425241548,3.062066838419386,0.11
2012-01-01,1.5032,1.7247,1.9828935476048803,2.5828752813320977,0.12
2012-04-01,1.773,2.1304,1.731160896130346,1.653870448297634,0.18
2012-07-01,1.8874,2.0125,1.677260655666335,1.9497168982819613,0.19
2012-10-01,1.9302,1.9692,2.0655541664401866,1.7595049796895523,0.18
2013-01-01,1.7483,2.075,1.8730072953255794,1.5187472411246183,0.15
2013-04-01,1.9376,2.1831,1.6726403823178027,1.7157935271568725,0.12
2013-07-01,1.8588,2.1098,1.6131967414924508,1.0947341081747997,0.12
2013-10-01,1.9932,2.1931,1.6413697608776756,1.5128383667573297,0.12
2014-01-01,1.9263,2.1,1.6232043964438114,1.6126949139408042,0.12
2014-04-01,1.8684,2.0414,1.9785943405214779,2.0589816945944195,0.11
2014-07-01,1.8131,1.8626,1.8983607938982683,1.6840509711232077,0.11
2014-10-01,1.8067,1.984,1.4629136713264712,0.6531213919623191,0.1
2015-01-01,1.8392,1.8881,1.0241366350691283,-0.022031284423873476,0.2
2015-04-01,1.8751,1.9583,1.032907713069653,0.1795718097550525,0.23
2015-07-01,1.966,2.099,0.8860078986001607,0.008842961634170088,0.3
2015-10-01,1.8654,1.9162,0.7839127471029217,0.6387247515364791,0.26
2016-01-01,1.7707,1.8938,0.7512736516859686,0.8916160965521946,0.54
2016-04-01,1.8144,1.9731,0.8569226817364495,1.0792865347959424,0.56
2016-07-01,1.7656,2.0422,0.8474836805591135,1.5486446201652182,0.51
2016-10-01,1.8526,2.0435,1.337350508808055,2.0507989115119862,0.66
2017-01-01,1.8085,1.9849,1.9426438007713154,2.44119623655914,0.83
2017-04-01,1.8686,2.0574,1.5189641296264211,1.640565809959127,1.04
2017-07-01,1.8892,2.2276,1.7803068793821764,2.1805652303711787,1.22
2017-10-01,1.9402,2.2029,1.9133143215419812,2.129930719552253,1.4
2018-01-01,2.1025,2.3596,2.0414528624610018,2.3309497646499366,1.8
2018-04-01,2.0102,2.275,2.494731560461605,2.8075506935940187,2.15
2018-07-01,1.9432,2.2053,2.4110940276751647,2.332055105808828,2.39
2018-10-01,1.998,2.0907,2.2236996169799017,2.0023809043401064,2.65
2019-01-01,2.0365,2.2117,1.9286327019591987,1.8831863513063984,2.58
2019-04-01,2.1011,2.2597,1.7153599122738505,1.671194894390049,2.42
2019-07-01,2.2249,2.2589,1.5929496865769055,1.6844977040391562,1.96
2019-10-01,2.2151,2.3658,1.47739737330006,2.3195274699624457,1.61
2020-01-01,2.1038,2.2651,1.6077388149939642,1.5231420852062971,1.53
2020-04-01,2.0131,2.0855,0.6988295087016816,0.7017667595302868,0.18
2020-07-01,1.9787,2.0369,1.2733780503017877,1.373084272511016,0.15
2020-10-01,1.9405,2.1384,1.6586793698166291,1.3049530216912242,0.13
2021-01-01,1.9268,2.1582,2.504831630758675,2.6186325779585795,0.1
2021-04-01,1.3731,1.859,4.484103466075284,5.315092372103147,0.06
2021-07-01,1.5176,1.7697,5.099584983607808,5.361010344257178,0.08
2021-10-01,1.872,2.067,6.184897671136191,7.176580599606885,0.11
2022-01-01,1.9533,2.1546,6.935208232715384,8.547431203050081,0.55
2022-04-01,2.3091,2.3695,7.653812725858833,8.989743741317646,1.89
2022-07-01,2.2512,2.385,7.250270465200148,8.19827154994579,3.02
2022-10-01,2.5708,2.6146,6.420140365801785,6.411498247913161,4.43
2023-01-01,2.8054,2.9512,5.320710470317436,4.935090226845151,4.69
2023-04-01,3.0388,3.6014,3.4800418114913523,3.053261739142221,4.68
2023-07-01,3.0528,3.573,3.194297338645957,3.6940551594278226,5.37
2023-10-01,2.9612,3.5003,2.647947840423659,3.3231597124613543,5.42
2024-01-01,2.6903,2.9575,,3.1657429794798686,4.79
2024-04-01,2.5349,2.8161,,,
2024-07-01,2.5077,2.6696,,,
2024-10-01,2.2604,2.5747,,,
2025-01-01,2.1058,2.3806,,,
