,deflator inflation - 3mo forecast,deflator inflation - 3mo actual,nominal interest - 3mo
1970-01-01,3.0303030303030276,5.6840508093417785,7.21
1970-04-01,2.985074626865636,3.3228971730278056,6.676666666666667
1970-07-01,2.962962962962923,5.393602326138169,6.326666666666667
1970-10-01,3.650967506389158,6.215486480040111,5.353333333333334
1971-01-01,3.4582132564841217,5.360338277747978,3.84
1971-04-01,3.9857651245552184,4.133180486098564,4.25
1971-07-01,3.623693379790982,3.3781142230292494,5.010000000000001
1971-10-01,3.3496161898115773,6.237460445090592,4.2299999999999995
1972-01-01,3.3310201249133087,2.5132761352963495,3.436666666666667
1972-04-01,3.283173734610134,3.876059215265548,3.77
1972-07-01,3.408316291751845,5.198865321207968,4.22
1972-10-01,4.073319755600835,4.689435976297518,4.863333333333333
1973-01-01,3.4922766957689255,6.301287087351315,5.7
1973-04-01,4.235605559232258,8.00952229434737,6.603333333333334
1973-07-01,4.86867392696988,8.212557627807705,8.323333333333332
1973-10-01,5.841269841269892,7.765131161113836,7.5
1974-01-01,6.459627329192497,9.793757606629082,7.616666666666667
1974-04-01,6.517803258901633,12.25349693789366,8.153333333333334
1974-07-01,7.859237536656849,12.295483018496768,8.19
1974-10-01,8.7301587301587,9.407381881805676,7.359999999999999
1975-01-01,8.149779735682827,6.075469829318569,5.75
1975-04-01,5.863192182410426,7.249774035326939,5.3933333333333335
1975-07-01,5.99892876272099,6.865449726172401,6.330000000000001
1975-10-01,5.812417437252293,4.2937963195244455,5.626666666666668
1976-01-01,6.106870229007644,4.090609367818621,4.916666666666667
1976-04-01,5.748865355521993,5.273300361518274,5.156666666666667
1976-07-01,5.794947994056532,7.365371396727682,5.1499999999999995
1976-10-01,5.728975394785163,6.587037326489642,4.673333333333333
1977-01-01,5.354558610709148,5.766484252851134,4.63
1977-04-01,5.982905982905962,4.957693918378436,4.84
1977-07-01,6.460674157303359,8.931441015428533,5.496666666666667
1977-10-01,5.817174515235468,5.937421078252014,6.109999999999999
1978-01-01,6.143344709897569,7.874094822817379,6.3933333333333335
1978-04-01,6.298157453936337,6.968660785866709,6.476666666666667
1978-07-01,6.775244299674288,8.434911565018144,7.313333333333333
1978-10-01,6.773162939297173,7.4949900366371836,8.57
1979-01-01,7.5140889167188085,10.164244669560452,9.383333333333333
1979-04-01,8.20324456688093,9.03859635263855,9.376666666666667
1979-07-01,8.353221957040535,7.630928812744475,9.673333333333334
1979-10-01,7.953216374269001,8.672910795544574,11.843333333333334
1980-01-01,8.695652173912993,9.860501585735882,13.353333333333333
1980-04-01,9.401231113598207,9.238417239251206,9.616666666666667
1980-07-01,9.317621266100318,10.833054286596466,9.153333333333334
1980-10-01,9.826435246996024,10.9603198685978,13.613333333333335
1981-01-01,9.247940473026794,8.165201505362774,14.39
1981-04-01,8.235600729736792,7.74422130264889,14.906666666666666
1981-07-01,8.213552361396292,7.093151362694061,15.053333333333333
1981-10-01,7.418546365914747,5.617057781406731,11.75
1982-01-01,6.206896551724128,5.298205208623985,12.813333333333333
1982-04-01,5.772994129158526,5.7968595013216495,12.42
1982-07-01,5.9216809933142045,4.211717005756088,9.316666666666666
1982-10-01,5.4950260540028495,3.0567952523047115,7.906666666666667
1983-01-01,4.508100493073464,2.9987582840561355,8.106666666666667
1983-04-01,4.267161410018616,4.32333447281068,8.396666666666667
1983-07-01,4.604051565377532,3.0645882265621927,9.14
1983-10-01,5.669867398262518,4.115959489819154,8.799999999999999
1984-01-01,4.615384615384599,3.4652640680087554,9.17
1984-04-01,5.381165919282527,3.6028723652421935,9.796666666666667
1984-07-01,4.010695187165769,3.0241454649214905,10.32
1984-10-01,4.2365401588702944,4.014039933386426,8.803333333333333
1985-01-01,3.422553751645463,2.598725628147225,8.183333333333332
1985-04-01,4.0692640692640225,2.437212768887176,7.460000000000001
1985-07-01,3.6113499570077146,2.2548143607685978,7.1066666666666665
1985-10-01,3.9316239316239177,2.0043986155359406,7.166666666666667
1986-01-01,2.456140350877245,1.5224734424005293,6.896666666666666
1986-04-01,2.8021015761821033,1.6497385583018165,6.140000000000001
1986-07-01,1.7436791630339954,2.197698831605477,5.523333333333333
1986-10-01,2.938634399308526,2.58335665744045,5.353333333333333
1987-01-01,3.273040482342804,2.799723210933447,5.536666666666666
1987-04-01,3.7478705281089653,3.0660841840592923,5.656666666666666
1987-07-01,4.057480980557937,3.2270483970144648,6.043333333333334
1987-10-01,3.367003367003374,3.1707414124314326,5.863333333333333
1988-01-01,3.343083994985374,3.949423481851344,5.723333333333334
1988-04-01,3.6529680365296358,4.870173549082857,6.21
1988-07-01,3.9376538146020934,3.500027728218247,7.010000000000001
1988-10-01,4.5307443365696365,4.2363824270885475,7.726666666666667
1989-01-01,3.8369304556354678,4.331027202074944,8.54
1989-04-01,4.41988950276242,2.9513603129969423,8.41
1989-07-01,4.39905734485464,2.8799202378954725,7.843333333333334
1989-10-01,4.0625000000000355,4.386768776116612,7.653333333333333
1990-01-01,3.712296983758634,4.558374921156139,7.760000000000001
1990-04-01,3.6641221374045685,3.4686404919201497,7.746666666666667
1990-07-01,4.535147392290284,3.01276770148744,7.476666666666667
1990-10-01,4.638982416760129,3.974304820999941,6.989999999999999
1991-01-01,3.866171003717511,2.967677318429085,6.023333333333333
1991-04-01,3.52941176470587,3.1668392430526326,5.56
1991-07-01,3.206997084548213,2.3926112137343303,5.376666666666666
1991-10-01,3.1930333817125955,1.4938201535767304,4.54
1992-01-01,2.9643103767706513,2.4284608736796276,3.893333333333333
1992-04-01,2.7372765936113375,1.9717172275422579,3.6799999999999997
1992-07-01,2.7256902909658542,2.7782824725094635,3.0833333333333335
1992-10-01,2.6229508196720985,2.2632012988298644,3.0700000000000003
1993-01-01,2.4774976946867255,2.403971430905827,2.9600000000000004
1993-04-01,2.5185700083251383,2.3959718050070578,2.966666666666667
1993-07-01,2.8915662650602414,2.1984600188451164,3.0033333333333334
1993-10-01,2.553870710295314,1.9292148927233521,3.06
1994-01-01,2.6557468294040376,1.9449079999957597,3.2433333333333336
1994-04-01,2.718507981665841,2.314736883944546,3.9866666666666664
1994-07-01,3.075709779179814,2.1838680938871313,4.476666666666667
1994-10-01,3.1421838177533523,2.190462519808034,5.28
1995-01-01,2.5019546520718805,1.9340539269495638,5.736666666666667
1995-04-01,2.801556420233453,1.9855303313000006,5.596666666666667
1995-07-01,2.4752898061230155,1.9394321098270106,5.366666666666667
1995-10-01,2.3186832360752696,1.936092758661867,5.260000000000001
1996-01-01,2.242343468762442,1.6694651028585472,4.93
1996-04-01,2.3657870791628177,1.3176863055400334,5.02
1996-07-01,2.1758839528558838,2.1504290024336736,5.096666666666667
1996-10-01,2.529358626919631,2.4116564213318092,4.976666666666667
1997-01-01,2.515723270440251,0.7962820075167132,5.06
1997-04-01,2.338241856314127,1.7580973135753686,5.046666666666667
1997-07-01,2.3880702937185028,1.3368353668384403,5.046666666666667
1997-10-01,2.2508833922261218,0.5694017668681051,5.09
1998-01-01,2.0341190030001677,0.948998696112846,5.053333333333334
1998-04-01,1.9234657547492873,1.703191243791835,4.976666666666667
1998-07-01,1.7306891756640574,1.1320965642336311,4.823333333333333
1998-10-01,1.6290256324179353,1.3065103354716667,4.253333333333333
1999-01-01,1.311845399724909,1.5195761023129695,4.406666666666667
1999-04-01,1.5146855973079631,1.4226281301905397,4.453333333333333
1999-07-01,1.6323962493336452,2.2376360535797835,4.6499999999999995
1999-10-01,1.7671755725190863,2.686042940714395,5.043333333333334
2000-01-01,1.696394686906988,2.5153714374969827,5.5200000000000005
2000-04-01,2.043192488262857,2.3592553372139946,5.713333333333334
2000-07-01,2.2346368715083997,2.172556860517494,6.016666666666667
2000-10-01,2.224281742353984,2.671679653297221,6.016666666666667
2001-01-01,1.881918819188133,2.4275783397940565,4.816666666666666
2001-04-01,1.831501831501825,1.5820248967771233,3.66
2001-07-01,1.9587746270356199,1.2613209523500535,3.17
2001-10-01,1.8148820326678639,1.262754805413313,1.906666666666667
2002-01-01,1.470121148872483,1.4041642806697618,1.72
2002-04-01,1.6927672671313232,1.9317814008545264,1.7133333333333332
2002-07-01,1.8034265103697322,2.3414995740526523,1.6433333333333333
2002-10-01,1.9486239191788712,1.9699928821222512,1.3333333333333333
2003-01-01,1.738943752683575,1.414697161952283,1.1566666666666665
2003-04-01,1.6866826794768919,2.3082596467143945,1.04
2003-07-01,1.4889704249251068,2.4585586628219414,0.93
2003-10-01,1.7683465959327904,2.8849311951616663,0.9166666666666666
2004-01-01,1.3930479024491405,3.2671938279821067,0.9166666666666666
2004-04-01,1.6726437166552977,2.561542599061273,1.0766666666666667
2004-07-01,2.2301138977312007,3.1374574820784984,1.4866666666666666
2004-10-01,2.179916509931612,3.235981301028823,2.0066666666666664
2005-01-01,1.9082019848219112,2.910433913644872,2.5366666666666666
2005-04-01,2.066847335140043,3.6973935339736697,2.8633333333333333
2005-07-01,2.1640700203215957,3.327754744588418,3.36
2005-10-01,2.5394919250160797,2.8641839785518597,3.8266666666666667
2006-01-01,2.1226993865030686,3.5382320402953304,4.3933333333333335
2006-04-01,2.3593135595427306,2.823820828727097,4.703333333333333
2006-07-01,2.371731158104051,1.4378154243078978,4.906666666666666
2006-10-01,2.455866084051994,3.8578190777657007,4.903333333333333
2007-01-01,2.1416659650805414,2.8102938337853933,4.983333333333333
2007-04-01,2.2654658698762375,2.204341284737077,4.736666666666667
2007-07-01,2.0859874864050276,1.6303349343533835,4.303333333333334
2007-10-01,2.435880398671042,1.488819627923288,3.39
2008-01-01,2.2231546736287022,1.9519385805105705,2.0433333333333334
2008-04-01,2.3523226360689264,3.0477437109564187,1.6266666666666667
2008-07-01,2.378847230450365,0.9718587094392994,1.4933333333333332
2008-10-01,2.006240669843695,-0.3156065079962245,0.2966666666666667
2009-01-01,1.0767234387672353,-0.6624321680449019,0.21333333333333335
2009-04-01,1.11560277020466,0.47598186547599397,0.17333333333333334
2009-07-01,1.1800341846825546,1.2715409022213242,0.15666666666666665
2009-10-01,1.46106193726796,1.1538537999436826,0.05666666666666667
2010-01-01,1.2024651078484716,1.9686342239796373,0.10666666666666667
2010-04-01,1.3926270767682603,1.2215930211457504,0.14666666666666667
2010-07-01,1.1382727054548347,2.3424871342499376,0.15666666666666665
2010-10-01,1.282511210762305,2.0630998585089433,0.1366666666666667
2011-01-01,1.0753651760910365,2.671685171982152,0.12666666666666668
2011-04-01,1.9326563335114955,2.430801492005985,0.04666666666666667
2011-07-01,1.6264801391911554,0.4753978269061987,0.023333333333333334
2011-10-01,1.918748037027651,2.3689678120055513,0.013333333333333334
2012-01-01,1.613636363636406,1.6617010055294257,0.06666666666666667
2012-04-01,2.03022909206636,2.213890232641691,0.08666666666666667
2012-07-01,1.898960418706075,2.0190271001595095,0.10333333333333333
2012-10-01,1.7618207429039856,1.5986739371258052,0.08666666666666667
2013-01-01,1.8661707611497214,0.8642522971624711,0.08666666666666667
2013-04-01,1.7117250428316133,1.9750594401507948,0.049999999999999996
2013-07-01,1.787346971309578,2.1322163186811904,0.03333333333333333
2013-10-01,1.6893125032090062,1.5260624704140024,0.06333333333333334
2014-01-01,1.5894577012965705,2.282614101610325,0.04666666666666667
2014-04-01,1.7382727768239903,1.6545149178756713,0.03333333333333333
2014-07-01,1.872644360402198,0.3975891229308637,0.02666666666666667
2014-10-01,1.7024023828497548,-0.21877878117276817,0.023333333333333334
2015-01-01,1.6071860183639153,2.318140092062859,0.02666666666666667
2015-04-01,1.7643564792068744,1.0645886140512317,0.02
2015-07-01,1.594735303357453,-0.008197897235051599,0.04
2015-10-01,1.7068361305072166,-0.3479734903367504,0.12333333333333334
2016-01-01,1.5781247738817505,2.7479838730225525,0.2866666666666667
2016-04-01,1.6363333077863196,1.0267601800032944,0.25666666666666665
2016-07-01,1.808935446324611,1.9488454477083916,0.29666666666666663
2016-10-01,1.8577523549444308,2.0543505588829447,0.43
2017-01-01,2.0506711480780204,1.0504960409161601,0.59
2017-04-01,1.9549369567230634,2.071086821798107,0.89
2017-07-01,1.873949824174037,2.4828017367661825,1.0366666666666668
2017-10-01,1.8948976517004112,2.5685828612877826,1.2066666666666668
2018-01-01,2.0150238731224235,2.858002312917618,1.5599999999999998
2018-04-01,2.0558058925476352,1.738327081296509,1.8399999999999999
2018-07-01,2.2693529943202506,1.7347555680521376,2.0399999999999996
2018-10-01,2.2762926636310077,1.3894508174694176,2.316666666666667
2019-01-01,2.22417188898838,1.9998309242182488,2.3866666666666667
2019-04-01,2.037142857142893,1.2494590026822516,2.3000000000000003
2019-07-01,1.9385980479148301,1.2726902328212386,1.9799999999999998
2019-10-01,1.9589698173342995,1.9113692188398756,1.5766666666666669
2020-01-01,1.8316621162723479,-1.601156259721459,1.11
2020-04-01,0.41915798557603523,3.5800716766055674,0.14333333333333334
2020-07-01,1.2863598364773132,2.822702740716143,0.11333333333333334
2020-10-01,2.0396005825930708,5.346989379548739,0.09333333333333334
2021-01-01,1.899391394643768,6.221769283043943,0.049999999999999996
2021-04-01,2.4485031242397426,6.042346521090547,0.02666666666666667
2021-07-01,2.3574459260208513,7.136146715794345,0.04666666666666667
2021-10-01,2.8009148900942193,8.356257152711999,0.05333333333333334
2022-01-01,3.5030214784513625,9.105919996536048,0.3066666666666667
2022-04-01,3.853152434158069,4.461257850928102,1.0766666666666667
2022-07-01,3.6596655061971184,3.8574721336655404,2.6633333333333336
2022-10-01,3.9300973269785544,3.9474418837303737,4.04
2023-01-01,2.8831995877199645,1.6762633655301507,4.626666666666667
2023-04-01,3.014259708737832,3.3122123809895987,5.073333333333333
2023-07-01,2.580816714723966,1.6754351971824732,5.29
2023-10-01,2.364097154013134,,5.283333333333333
2024-01-01,2.006617671994082,,5.23
